x,Curve1
0.0722,0.266
0.2825,0.598
0.5218,1.443
0.6411,2.323
0.7654,3.723
0.8604,5.149
0.9745,5.808
1.1108,5.261
1.2342,4.037
1.3577,2.633
1.4756,1.711
1.588,0.992
1.6923,0.461
1.9618,0.002
2.4228,-0.003
2.8331,0.017
3.2328,0.054
3.6087,-0.064
3.9843,0.022
4.4134,0.05
4.8344,0.046
5.2287,0.205
5.399,0.48
5.604,0.845
5.8194,1.511
6.0138,1.639
6.2353,1.262
6.4141,0.844
6.6142,0.467
6.8194,0.482
7.0328,0.194
7.238,0.184
7.4246,-0.006
7.6166,-0.195
7.8458,-0.271
8.0191,-0.362
8.2218,-0.544
8.4323,-0.627
8.6349,-0.695
8.8321,-0.689
9.0106,-0.601
9.189,-0.456
