x,Curve1
2.0388,0.19
2.4373,0.23
2.8275,0.131
3.2097,0.057
3.4454,1.569
3.6362,2.049
3.816,2.39
4.0628,2.772
4.2388,2.543
4.444,2.201
4.6364,2.127
4.8551,1.85
5.0367,1.736
5.2236,1.597
5.4244,1.767
5.6324,1.45
5.8539,1.278
6.0361,1.44
6.2075,1.57
6.4427,1.545
6.635,1.406
6.8436,1.463
7.0411,1.251
7.4183,1.372
7.83,1.338
8.2552,1.37
8.6295,1.328
9.0437,1.189
9.2654,1.115
9.4229,2.286
9.6335,3.294
9.8623,2.724
10.0328,2.423
10.2548,2.446
10.4473,2.43
10.6609,2.258
11.0326,2.306
11.2175,2.517
11.4256,2.256
11.6448,2.256
11.8344,2.141
