x,Curve1
30.532,0.2628
31.442,0.28
32.503,0.3689
33.495,0.7091
34.576,0.7681
35.826,0.7432
37.167,0.7003
38.495,0.3225
39.557,0.4832
40.568,0.7217
41.571,1.0439
42.544,1.7309
43.177,2.1431
43.77,2.7348
44.485,3.6673
45.001,4.8989
45.523,6.4164
46.167,8.1818
46.78,9.9377
47.499,10.953
48.137,11.4747
48.804,11.4552
49.279,11.1416
49.864,10.6949
50.466,10.2957
51.05,9.5737
51.601,8.6144
52.137,7.7785
52.817,7.2178
53.481,6.6667
53.971,6.1726
54.65,5.3461
55.139,4.7476
55.866,4.13
56.418,3.2181
56.954,2.5437
57.635,2.1729
58.204,1.6313
58.71,1.1657
59.375,0.7759
60.678,0.8699
61.199,0.3378
62.215,0.1472
63.66,0.0322
64.77,-0.2725
66.691,-0.4163
68.454,-0.3892
69.902,0.2743
71.57,0.4439
72.775,-0.0032
74.537,-0.2799
76.095,-0.2608
77.545,-0.2393
79.322,-0.2633
