x,Curve1
80.5336,0.0314
81.4597,-0.0274
82.5267,-0.0404
83.6141,0.0073
84.5403,-0.006
85.5872,-0.0039
86.7147,-0.0167
87.963,-0.0294
88.9295,-0.0123
90.0166,-0.0555
91.1051,0.4315
92.0322,0.8122
92.5171,1.4798
92.8206,2.0714
92.9831,2.602
93.2469,3.4207
93.3707,4.6179
93.6562,6.0579
93.8422,7.9674
93.9487,10.2706
94.1967,12.8166
94.3634,15.0593
94.5282,16.5293
94.8717,17.0149
95.0095,15.7727
95.2667,13.9551
95.3219,11.8946
95.6194,10.1225
95.8172,8.6835
95.9756,7.6383
96.1152,7.0932
96.4976,7.0333
96.7409,7.7005
96.9032,8.2008
97.1066,9.0043
97.3294,9.535
97.5719,9.9143
97.9355,10.3847
98.3971,9.7644
98.6775,9.2044
98.8372,8.6441
99.0971,7.9022
99.4178,7.3574
99.9402,6.9039
100.8462,6.8754
101.6902,6.2559
102.1722,5.7569
102.8155,5.3491
103.217,4.8954
103.8203,4.5936
104.4636,4.2161
105.2075,3.7782
105.9316,3.4918
106.5548,3.0991
107.3793,2.7068
108.1033,2.3901
108.8477,2.134
109.8142,2.1814
110.5806,2.6981
111.2061,3.2146
111.5901,3.7911
112.1558,4.565
112.9824,5.006
113.4669,5.507
114.0328,6.3566
114.458,7.2969
114.8228,8.2522
115.2072,9.0105
115.5318,9.9809
115.836,10.8451
116.0591,11.4819
116.1614,12.1185
116.3441,12.7401
116.7686,13.3773
117.3111,12.9542
117.5512,12.3486
117.8707,11.2735
118.0297,10.4708
118.1887,9.6529
118.549,8.79
118.6074,7.9871
118.8469,7.1845
119.067,6.6092
119.2666,5.9278
119.5068,5.3828
119.9885,4.7475
